,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11,teams_sorted_key,match_stage
178.0,1955.0,2003-02-16,"new wanderers stadium, johannesburg",johannesburg,south africa,new zealand,0.0,bat,1.0,GC Smith,CD McMillan,HH Gibbs,SP Fleming,N Boje,NJ Astle,JH Kallis,SB Styris,MV Boucher,CL Cairns,L Klusener,L Vincent,SM Pollock,BB McCullum,G Kirsten,JDP Oram,HH Dippenaar,AR Adams,M Ntini,DL Vettori,AA Donald,SE Bond,new zealand||south africa,group
179.0,1957.0,2003-02-19,harare sports club,harare,india,zimbabwe,1.0,field,0.0,V Sehwag,CB Wishart,SR Tendulkar,MA Vermeulen,D Mongia,A Flower,SC Ganguly,GW Flower,R Dravid,DD Ebrahim,Yuvraj Singh,AM Blignaut,M Kaif,T Taibu,Harbhajan Singh,GJ Whittall,Z Khan,HH Streak,A Nehra,BA Murphy,J Srinath,DT Hondo,india||zimbabwe,group
180.0,1958.0,2003-02-19,"boland bank park, paarl",paarl,canada,sri lanka,1.0,field,1.0,DR Chumney,MS Atapattu,JM Davison,ST Jayasuriya,AF Sattaur,KC Sangakkara,IS Billcliff,PA de Silva,NA de Groot,DPMD Jayawardene,JV Harris,HP Tillakaratne,I Maraj,RP Arnold,A Bagai,WPUJC Vaas,S Thuraisingam,M Muralitharan,A Codrington,CRD Fernando,BB Seebaran,RAP Nissanka,canada||sri lanka,group
181.0,1959.0,2003-02-19,"st george's park, port elizabeth",gqeberha,england,namibia,1.0,field,0.0,ME Trescothick,SJ Swanepoel,NV Knight,AJ Burger,MP Vaughan,LJ Burger,AJ Stewart,D Keulder,PD Collingwood,GB Murgatroyd,A Flintoff,G Snyman,ID Blackwell,DB Kotze,C White,SF Burger,RC Irani,M van Schoor,AR Caddick,BL Kotze,JM Anderson,RJ van Vuuren,england||namibia,group
182.0,1961.0,2003-02-22,"goodyear park, bloemfontein",bloemfontein,bangladesh,south africa,1.0,field,1.0,Al Sahariar,HH Gibbs,Ehsanul Haque,G Kirsten,Mohammad Ashraful,JH Kallis,Sanwar Hossain,HH Dippenaar,Alok Kapali,AJ Hall,Tushar Imran,L Klusener,Khaled Mashud,MV Boucher,Khaled Mahmud,SM Pollock,Mohammad Rafique,RJ Peterson,Manjural Islam,M Ntini,Talha Jubair,M Zondeki,bangladesh||south africa,group
183.0,1962.0,2003-02-22,"newlands, cape town",cape town,england,pakistan,0.0,bat,0.0,ME Trescothick,Saeed Anwar,NV Knight,Shahid Afridi,MP Vaughan,Inzamam-ul-Haq,N Hussain,Yousuf Youhana,AJ Stewart,Younis Khan,PD Collingwood,Abdul Razzaq,A Flintoff,Rashid Latif,C White,Wasim Akram,AF Giles,Saqlain Mushtaq,AR Caddick,Waqar Younis,JM Anderson,Shoaib Akhtar,england||pakistan,group
184.0,1963.0,2003-02-23,"supersport park, centurion",centurion,canada,west indies,1.0,field,1.0,I Maraj,CH Gayle,JM Davison,WW Hinds,DR Chumney,BC Lara,IS Billcliff,RR Sarwan,N Ifill,CL Hooper,JV Harris,S Chanderpaul,NA de Groot,RL Powell,A Bagai,RD Jacobs,A Codrington,VC Drakes,BB Seebaran,M Dillon,D Joseph,PT Collins,canada||west indies,group
185.0,1964.0,2003-02-23,"city oval, pietermaritzburg",pietermaritzburg,india,namibia,1.0,field,0.0,V Sehwag,SJ Swanepoel,SR Tendulkar,AJ Burger,SC Ganguly,LJ Burger,Yuvraj Singh,D Keulder,R Dravid,GB Murgatroyd,D Mongia,DB Kotze,M Kaif,M van Schoor,Harbhajan Singh,BO van Rooi,Z Khan,BL Kotze,A Nehra,G Snyman,J Srinath,RJ van Vuuren,india||namibia,group
186.0,1965.0,2003-02-24,"gymkhana club ground, nairobi",nairobi,kenya,sri lanka,1.0,field,0.0,KO Otieno,MS Atapattu,RD Shah,ST Jayasuriya,BJ Patel,HP Tillakaratne,SO Tikolo,PA de Silva,HS Modi,DPMD Jayawardene,MO Odumbe,KC Sangakkara,TM Odoyo,RP Arnold,CO Obuya,WPUJC Vaas,AO Suji,RAP Nissanka,PJ Ongondo,M Muralitharan,MA Suji,CRD Fernando,kenya||sri lanka,group
187.0,1966.0,2003-02-24,"queens sports club, bulawayo",bulawayo,zimbabwe,australia,0.0,bat,1.0,CB Wishart,AC Gilchrist,GJ Whittall,ML Hayden,A Flower,RT Ponting,GW Flower,DR Martyn,DD Ebrahim,DS Lehmann,T Taibu,A Symonds,DA Marillier,MG Bevan,AM Blignaut,GB Hogg,HH Streak,B Lee,BA Murphy,JN Gillespie,DT Hondo,GD McGrath,australia||zimbabwe,group
188.0,1967.0,2003-02-25,"boland bank park, paarl",paarl,pakistan,netherlands,1.0,field,0.0,Taufeeq Umar,NA Statham,Saeed Anwar,E Schiferli,Abdul Razzaq,B Zuiderent,Inzamam-ul-Haq,KJJ van Noortwijk,Yousuf Youhana,TBM de Leede,Saleem Elahi,DLS van Bunge,Rashid Latif,LP van Troost,Wasim Akram,HJC Mol,Shoaib Akhtar,JJ Esmeijer,Waqar Younis,RP Lefebvre,Saqlain Mushtaq,J Smits,netherlands||pakistan,group
189.0,1968.0,2003-02-26,"de beers diamond oval, kimberley",kimberley,bangladesh,new zealand,0.0,bat,1.0,Hannan Sarkar,CD McMillan,Mohammad Ashraful,SP Fleming,Sanwar Hossain,AR Adams,Habibul Bashar,SB Styris,Alok Kapali,CL Cairns,Akram Khan,MS Sinclair,Khaled Mashud,BB McCullum,Khaled Mahmud,JDP Oram,Mohammad Rafique,KD Mills,Manjural Islam,DL Vettori,Tapash Baisya,SE Bond,bangladesh||new zealand,group
190.0,1969.0,2003-02-26,"kingsmead, durban",durban,india,england,0.0,bat,0.0,V Sehwag,ME Trescothick,SR Tendulkar,NV Knight,SC Ganguly,MP Vaughan,D Mongia,N Hussain,R Dravid,AJ Stewart,Yuvraj Singh,PD Collingwood,M Kaif,A Flintoff,Harbhajan Singh,C White,Z Khan,RC Irani,J Srinath,AR Caddick,A Nehra,JM Anderson,england||india,group
191.0,1970.0,2003-02-27,"north west cricket stadium, potchefstroom",potchefstroom,australia,namibia,0.0,bat,0.0,AC Gilchrist,AJ Burger,ML Hayden,SJ Swanepoel,MG Bevan,M Karg,A Symonds,D Keulder,RT Ponting,GB Murgatroyd,DR Martyn,DB Kotze,DS Lehmann,LJ Burger,GB Hogg,M van Schoor,B Lee,BL Kotze,AJ Bichel,BO van Rooi,GD McGrath,RJ van Vuuren,australia||namibia,group
192.0,1971.0,2003-02-27,"buffalo park, east london",east london,south africa,canada,1.0,field,0.0,GC Smith,I Maraj,HH Gibbs,JM Davison,G Kirsten,DR Chumney,JH Kallis,IS Billcliff,HH Dippenaar,NA de Groot,MV Boucher,JV Harris,SM Pollock,A Bagai,AJ Hall,N Ifill,M Ntini,D Joseph,M Zondeki,BB Seebaran,AA Donald,A Patel,canada||south africa,group
193.0,1972.0,2003-02-28,"queens sports club, bulawayo",bulawayo,zimbabwe,netherlands,1.0,field,0.0,CB Wishart,JF Kloppenburg,MA Vermeulen,E Schiferli,A Flower,B Zuiderent,GJ Whittall,DLS van Bunge,DD Ebrahim,TBM de Leede,AM Blignaut,LP van Troost,HH Streak,RH Scholte,DA Marillier,HJC Mol,T Taibu,RP Lefebvre,BA Murphy,J Smits,DT Hondo,JJ Esmeijer,netherlands||zimbabwe,group
194.0,1973.0,2003-02-28,"newlands, cape town",cape town,sri lanka,west indies,0.0,bat,0.0,MS Atapattu,CH Gayle,ST Jayasuriya,WW Hinds,HP Tillakaratne,BC Lara,PA de Silva,RR Sarwan,DPMD Jayawardene,CL Hooper,RP Arnold,S Chanderpaul,KC Sangakkara,RD Jacobs,WPUJC Vaas,RL Powell,M Muralitharan,VC Drakes,CRD Fernando,M Dillon,PW Gunaratne,PT Collins,sri lanka||west indies,group
195.0,1974.0,2003-03-01,"new wanderers stadium, johannesburg",johannesburg,kenya,bangladesh,0.0,bat,0.0,KO Otieno,Al Sahariar,RD Shah,Mohammad Ashraful,BJ Patel,Tushar Imran,SO Tikolo,Khaled Mashud,HS Modi,Alok Kapali,MO Odumbe,Akram Khan,TM Odoyo,Sanwar Hossain,CO Obuya,Khaled Mahmud,PJ Ongondo,Mohammad Rafique,MA Suji,Tapash Baisya,AO Suji,Manjural Islam,bangladesh||kenya,group
196.0,1975.0,2003-03-01,"supersport park, centurion",centurion,pakistan,india,0.0,bat,1.0,Saeed Anwar,SR Tendulkar,Taufeeq Umar,V Sehwag,Abdul Razzaq,SC Ganguly,Inzamam-ul-Haq,M Kaif,Yousuf Youhana,R Dravid,Younis Khan,Yuvraj Singh,Shahid Afridi,D Mongia,Rashid Latif,A Kumble,Wasim Akram,Z Khan,Waqar Younis,J Srinath,Shoaib Akhtar,A Nehra,india||pakistan,group
