batter,batter_random_intercept
Mohammad Yousuf,0.0
Mohammed Shami,0.0
Mohammed Siraj,0.0
Mosaddek Hossain,0.0
Mudassar Bukhari,0.0
Mushfiqur Rahim,0.0
Mustafizur Rahman,0.0
N Boje,0.05829729853461222
N Hussain,0.0
N Ifill,0.0
N Pooran,0.0
N Pradeep,0.0
NA Statham,0.0
NA de Groot,0.0
NAM McLean,0.0
NFI McCallum,0.0
NJ Astle,0.0
NJ O'Brien,0.0
NL McCullum,0.0
NLTC Perera,0.0
NM Coulter-Nile,0.0
NM Lyon,0.0
NN Odhiambo,0.0
NO Miller,0.0
NR Kumar,0.0
NS Poonia,0.0
NV Knight,0.0
Naeem Islam,0.0
Nasir Aziz,0.0
Nasir Hossain,0.0
Nasir Jamshed,0.0
Nasum Ahmed,0.0
Naved-ul-Hasan,0.0
Nazmul Hossain Shanto,0.0
O Thomas,0.0
OL Pitcher,0.0
P Nissanka,0.0
P Utseya,0.0
PA Nixon,0.0
PA de Silva,0.0
PA van Meekeren,0.0
PD Collingwood,0.0
PG Fulton,0.0
PG Gillespie,0.0
PJ Cummins,0.0
PJ Ongondo,0.0
PJC Hoffmann,0.0
PJK Mooney,0.0
PL Mommsen,0.0
PM Seelaar,0.0
PR Stirling,0.0
PSP Handscomb,0.0
PVD Chameera,0.0
PW Borren,0.0
PW Gunaratne,0.0
Q de Kock,0.0
R Ashwin,0.0
R Dravid,0.0
R Gunasekera,0.0
R Klein,0.0
R Rampaul,0.0
R Ravindra,0.0
R Walters,0.0
RA Jadeja,0.0
RAP Nissanka,0.0
RAS Lakmal,0.0
RC Irani,0.0
RD Berrington,0.0
RD Jacobs,0.0
RD Shah,0.0
RDM Leverock,0.0
RE van der Merwe,0.0
RG Sharma,0.0
RH Scholte,0.0
RJ Peterson,0.0
RJ van Vuuren,0.0
RJW Topley,0.0
RL Powell,0.3479860970965009
RM Haq,0.0
RML Taylor,0.0
RN ten Doeschate,0.0
RP Arnold,0.0
RP Lefebvre,0.0
RR Hendricks,0.0
RR Pant,0.0
RR Patel,0.0
RR Rossouw,0.0
RR Sarwan,0.25972172692774564
RR Watson,0.0
RS Bopara,0.0
RT Ponting,0.0
RV Uthappa,0.0
RW Chakabva,0.0
RW Price,0.0
Rahat Ali,0.0
Raqibul Hasan,0.0
Rashid Latif,0.0
Rizwan Cheema,0.0
Rohan Mustafa,0.0
Rubel Hossain,0.0
S Chanderpaul,0.08034002069258006
S Dhaniram,0.0
S Dhawan,0.0
S Matsikenyeri,0.0
S Mukuddem,0.0
S Prasanna,0.0
S Samarawickrama,0.0
S Thuraisingam,0.0
SA Edwards,0.0
SA Engelbrecht,0.0
SA Yadav,0.0
SB Styris,0.0
SC Ganguly,0.0
SC Williams,0.0
SCJ Broad,0.0
SD Hope,0.0
SD Outerbridge,0.0
SE Bond,0.0
SE Marsh,0.0
SF Burger,0.0
SF Mire,0.0
SI Mahmood,0.0
SJ Benn,0.0
SJ Swanepoel,0.0
SK Raina,0.0
SL Malinga,0.0
SM Curran,0.0
SM Ervine,0.0
SM Pollock,0.027058487826469715
SO Hetmyer,0.0
SO Ngoche,0.0
SO Tikolo,0.0
SP Fleming,0.0
SP Patil,0.0
SPD Smith,0.0
SR Tendulkar,0.0
SR Thompson,0.0
SR Waters,0.0
SR Watson,0.0
SS Cottrell,0.0
SS Iyer,0.0
ST Finn,0.0
ST Gabriel,0.0
ST Jayasuriya,0.0
SW Ambris,0.0
