batter,balls_faced,avg_residual,actual_rpb,expected_rpb,weight,final_score
AD Mathews,410,0.06925851038026788,0.9365853658536586,0.8673268554733906,6.016157159698354,0.4166700830942914
DPMD Jayawardene,492,0.06716359395979721,0.943089430894309,0.8759258369345116,6.198478716492308,0.4163121076829343
MJ Santner,165,0.0772231484951742,0.9393939393939394,0.8621707908987652,5.10594547390058,0.3942971855392871
Mehedi Hasan Miraz,134,0.07999754380085226,0.9402985074626866,0.8603009636618343,4.897839799950911,0.3918151539261305
HDRL Thirimanne,241,0.06823582240301773,0.966804979253112,0.8985691568500943,5.484796933490655,0.37425962947028457
Mahmudullah,721,0.05650560263730888,0.8432732316227461,0.7867676289854373,6.580639137284949,0.37184298019094647
W Barresi,186,0.07013115074968745,0.6344086021505376,0.5642774514008502,5.225746673713202,0.36648762775385835
Haris Sohail,243,0.06647560705281942,0.9176954732510288,0.8512198661982094,5.493061443340548,0.3651545940244994
Babar Azam,367,0.05825031417427046,0.8392370572207084,0.7809867430464379,5.905361848054571,0.34398918296192915
CO Obuya,350,0.05868534697359774,0.7085714285714285,0.6498860815978308,5.857933154483459,0.34377483971900374
KIC Asalanka,219,0.062040908264439594,0.8949771689497716,0.832936260685332,5.389071729816501,0.3343429048200303
PL Mommsen,147,0.0669059016185706,0.7755102040816326,0.708604302463062,4.990432586778736,0.3338893916851269
Shakib Al Hasan,854,0.04720342977544128,0.7459016393442623,0.698698209568821,6.74993119378857,0.3186199030950593
BFW de Leede,196,0.060075779708703016,0.6938775510204082,0.6338017713117052,5.278114659230517,0.3170868535452086
GC Wilson,235,0.057045409261892874,0.9702127659574468,0.9131673566955539,5.459585514144159,0.31144429005465535
DT Johnston,168,0.05591524815541014,0.8333333333333334,0.7774180851779232,5.123963979403259,0.286507717447716
BA Stokes,503,0.04588506404131926,0.9383697813121272,0.892484717270808,6.220590170099739,0.2854321783298276
DB Kotze,111,0.05596685035694105,0.6396396396396397,0.5836727892826986,4.709530201312334,0.26357757202834187
A Flower,351,0.04466277941983002,0.6581196581196581,0.6134568786998281,5.860786223465865,0.26175900232543453
RA Jadeja,209,0.045798075668525604,1.0047846889952152,0.9589866133266897,5.342334251964811,0.24466862831804054
AU Rashid,122,0.05077991527085894,0.9590163934426229,0.908236478171764,4.804021044733257,0.24394778161097802
KP Pietersen,359,0.04083288534224645,0.7632311977715878,0.7223983124293414,5.883322388488279,0.24023302852061343
KS Williamson,695,0.03663618621005522,0.8258992805755395,0.7892630943654844,6.543911845564792,0.23974397291629782
PG Fulton,252,0.040396882130648605,0.6071428571428571,0.5667459750122086,5.529429087511423,0.22337169509797883
TLW Cooper,207,0.04027603045955164,0.714975845410628,0.6746998149510764,5.332718793265369,0.21478074454977944
RR Sarwan,668,0.03293170325917728,0.7709580838323353,0.7380263805731581,6.504288173536645,0.21419728804308497
Umar Akmal,353,0.03645533281860921,0.8923512747875354,0.8558959419689263,5.8664680569332965,0.213864045485243
A Balbirnie,178,0.041254313431623904,0.9269662921348315,0.8857119787032075,5.181783550292085,0.21377092271858256
LV van Beek,176,0.039970299273868706,0.7840909090909091,0.7441206098170404,5.170483995038151,0.2066657926724232
V Kohli,683,0.030503742799302392,0.9370424597364568,0.9065387169371544,6.52649485957079,0.19908252057731657
JDS Neesham,313,0.032755208545220266,0.8210862619808307,0.7883310534356104,5.746203190540153,0.18821808384935276
JEC Franklin,126,0.03709400333332552,0.8333333333333334,0.7962393300000078,4.836281906951478,0.17939705717736001
Saud Shakeel,170,0.03439483609932765,0.8647058823529412,0.8303110462536135,5.135798437050262,0.17664494548152687
MW Machan,135,0.03319278480283682,0.7037037037037037,0.6705109189008668,4.90527477843843,0.16281973011948986
GC Smith,117,0.033843696106993545,0.5982905982905983,0.5644469021836047,4.762173934797756,0.16116956745794095
D Ramdin,181,0.02987839705602645,0.9005524861878453,0.8706740891318188,5.198497031265826,0.15532275839473508
SK Raina,210,0.026073770977088358,0.9809523809523809,0.9548786099752926,5.3471075307174685,0.13941925714579173
SA Engelbrecht,369,0.022280816707157113,0.6449864498644986,0.6227056331573415,5.910796644040527,0.13169737661914638
CH Gayle,485,0.020938918215017265,0.6371134020618556,0.6161744838468385,6.184148890937483,0.1294893878568297
Saleem Elahi,133,0.02064266684913477,0.6766917293233082,0.6560490624741735,4.890349128221754,0.10094984782983832
PA Nixon,184,0.017664143781723717,0.8913043478260869,0.8736402040443633,5.214935757608986,0.09211737503485742
