batter,balls_faced,actual_runs_per_ball,expected_runs_per_ball,pressure_adjusted_performance
JEC Franklin,70,1.0,0.89483519721078,0.10516480278922
HS Baidwan,52,0.6923076923076923,0.592853200885507,0.09945449142218539
DT Johnston,82,0.9634146341463414,0.8663800897241437,0.09703454442219776
P Utseya,54,0.9814814814814815,0.8905112075705358,0.09097027391094568
Harbhajan Singh,88,0.8636363636363636,0.7838265070563303,0.07980985658003328
BB McCullum,68,1.1911764705882353,1.116151921310883,0.0750245492773522
DL Vettori,77,0.922077922077922,0.8489872544871437,0.07309066759077824
SA Engelbrecht,59,0.9152542372881356,0.8517678609215565,0.06348637636657901
BC Lara,52,1.0769230769230769,1.0175557513742177,0.059367325548859116
Misbah-ul-Haq,82,1.024390243902439,0.9717399888363153,0.05265025506612372
MJ Santner,86,0.8372093023255814,0.7855664014368329,0.05164290088874861
CO Obuya,130,0.8307692307692308,0.7857956970992724,0.04497353366995829
CR Woakes,52,0.9038461538461539,0.8619495564762354,0.04189659736991844
SP Patil,78,0.7435897435897436,0.7043407624516319,0.039248981138111684
Mashrafe Mortaza,59,0.9322033898305084,0.8948653145423134,0.037338075288195036
MG Bevan,71,0.8028169014084507,0.7655694827292975,0.03724741867915319
K Rabada,71,0.8309859154929577,0.8028275374193048,0.028158378073652974
SPD Smith,66,0.9848484848484849,0.9644563753729085,0.020392109475576355
AG Cremer,51,0.8627450980392157,0.8477489462262802,0.014996151812935479
Mushfiqur Rahim,88,0.8409090909090909,0.834889798325877,0.006019292583213942
Mohammad Rafique,120,0.7,0.699301288864553,0.0006987111354470277
WPUJC Vaas,111,0.6126126126126126,0.6119753927418417,0.000637219870771002
TM Dilshan,74,0.9864864864864865,0.9955499121821492,-0.009063425695662652
KS Williamson,65,1.0615384615384615,1.0726191664858966,-0.01108070494743499
Wahab Riaz,83,0.8795180722891566,0.8921702265258716,-0.012652154236715079
RS Bopara,118,0.864406779661017,0.890215479683483,-0.02580870002246597
Yuvraj Singh,115,1.0608695652173914,1.0983644596627116,-0.03749489444532034
A Zampa,57,0.8070175438596491,0.8551730313386071,-0.04815548747895803
A Bagai,79,0.6708860759493671,0.7411444569950789,-0.0702583810457118
TBM de Leede,76,0.5131578947368421,0.5919703459181991,-0.07881245118135692
Shaheen Shah Afridi,61,0.7377049180327869,0.8197359275051388,-0.08203100947235194
JDP Oram,105,0.7523809523809524,0.8417472765606653,-0.08936632417971291
KJ O'Brien,55,0.6909090909090909,0.7903302624344979,-0.09942117152540705
KMDN Kulasekara,72,0.7916666666666666,0.9050488121576744,-0.11338214549100772
Khurram Chohan,52,0.5961538461538461,0.7121475787236222,-0.11599373256977603
T Taibu,68,0.7352941176470589,0.8574884571243643,-0.1221943394773055
PJ Cummins,105,0.7714285714285715,0.9055817499934516,-0.13415317856488015
KA Maharaj,65,0.6307692307692307,0.77007560228155,-0.13930637151231925
Abdur Razzak,82,0.4878048780487805,0.6310734064426536,-0.14326852839387322
TM Odoyo,138,0.6956521739130435,0.8485064022149563,-0.15285422830191284
PJ Ongondo,83,0.7590361445783133,0.9153008213594944,-0.1562646767811811
Taskin Ahmed,71,0.5774647887323944,0.7715952334169844,-0.19413044468459
DM de Silva,68,0.7205882352941176,0.9214988876501693,-0.20091065235605166
J Smits,115,0.41739130434782606,0.6453878646385928,-0.2279965602907667
RP Arnold,119,0.7563025210084033,1.0138020953720008,-0.2574995743635974
DJ Bravo,51,0.7647058823529411,1.0318285272420735,-0.2671226448891324
Z Khan,50,0.48,0.7502945073699204,-0.27029450736992044
JF Mooney,64,0.75,1.0210503336155161,-0.27105033361551617
MA Starc,106,0.6886792452830188,0.9742446288150102,-0.28556538353199135
T Panyangara,57,0.5614035087719298,0.8540095414786488,-0.292606032706719
D Madushanka,58,0.39655172413793105,0.7022372664652147,-0.30568554232728357
WB Rankin,51,0.39215686274509803,0.7263871155853723,-0.33423025284027424
